date,close,diff,open,high,low,volume
2004.09.21,23800.0,5350.0,28000.0,31000.0,23800.0,71620.0
2004.09.22,21200.0,2600.0,20250.0,22700.0,20250.0,215442.0
2004.09.23,21500.0,300.0,21400.0,22100.0,19150.0,349791.0
2004.09.24,23200.0,1700.0,21800.0,24700.0,21750.0,353197.0
2004.09.30,19750.0,3450.0,23200.0,23200.0,19750.0,93228.0
2004.10.01,16800.0,2950.0,16800.0,16800.0,16800.0,8916.0
2004.10.04,14300.0,2500.0,14300.0,14300.0,14300.0,7762.0
2004.10.05,12200.0,2100.0,12200.0,12200.0,12200.0,25777.0
2004.10.06,10400.0,1800.0,10400.0,11500.0,10400.0,1644344.0
2004.10.07,11950.0,1550.0,9650.0,11950.0,9650.0,6100334.0
2004.10.08,10250.0,1700.0,12400.0,12850.0,10200.0,4098004.0
2004.10.11,11250.0,1000.0,10550.0,11600.0,10400.0,2141219.0
2004.10.12,9700.0,1550.0,11200.0,11600.0,9620.0,1898532.0
2004.10.13,9610.0,90.0,9990.0,10200.0,9200.0,1215063.0
2004.10.14,9390.0,220.0,9600.0,9800.0,9270.0,636382.0
2004.10.15,8500.0,890.0,9220.0,9290.0,8220.0,951795.0
2004.10.18,8200.0,300.0,8520.0,8670.0,7960.0,776085.0
2004.10.19,8400.0,200.0,8300.0,8680.0,8230.0,1014042.0
2004.10.20,7200.0,1200.0,8220.0,8270.0,7180.0,1160655.0
2004.10.21,7010.0,190.0,7210.0,7620.0,6850.0,872495.0
2004.10.22,8060.0,1050.0,7200.0,8060.0,7100.0,2076168.0
2004.10.25,7600.0,460.0,8070.0,8320.0,7550.0,998440.0
2004.10.26,7450.0,150.0,7650.0,7870.0,7080.0,843189.0
2004.10.27,7250.0,200.0,7460.0,7540.0,7080.0,676384.0
2004.10.28,7200.0,50.0,7500.0,7640.0,7200.0,1008712.0
2004.10.29,6900.0,300.0,7170.0,7200.0,6820.0,665651.0
2004.11.01,6950.0,50.0,7100.0,7350.0,6950.0,698387.0
2004.11.02,7410.0,460.0,7000.0,7840.0,7000.0,1297829.0
2004.11.03,7400.0,10.0,7460.0,7600.0,7250.0,564633.0
2004.11.04,7640.0,240.0,7520.0,7900.0,7420.0,927889.0
2004.11.05,7390.0,250.0,7750.0,7850.0,7390.0,555549.0
2004.11.08,7130.0,260.0,7410.0,7490.0,7070.0,370766.0
2004.11.09,7150.0,20.0,7150.0,7310.0,7060.0,333194.0
2004.11.10,7680.0,530.0,7150.0,8100.0,7140.0,1476464.0
2004.11.11,7930.0,250.0,7800.0,7970.0,7520.0,824490.0
2004.11.12,8290.0,360.0,8050.0,8640.0,7950.0,981740.0
2004.11.15,8080.0,210.0,8150.0,8510.0,8080.0,607178.0
2004.11.16,8280.0,200.0,8110.0,8370.0,8070.0,398204.0
2004.11.17,8300.0,20.0,8400.0,8440.0,8150.0,327070.0
2004.11.18,7760.0,540.0,8160.0,8260.0,7700.0,445242.0
