date,close,diff,open,high,low,volume
2016.10.19,3815.0,190.0,4005.0,4095.0,3605.0,20775701.0
2016.10.20,4955.0,1140.0,3955.0,4955.0,3860.0,32555427.0
2016.10.21,5280.0,325.0,5000.0,5870.0,4740.0,37089186.0
2016.10.24,6250.0,970.0,5320.0,6560.0,5300.0,26449292.0
2016.10.25,7300.0,1050.0,6310.0,7620.0,6040.0,28514690.0
2016.10.26,6300.0,1000.0,7110.0,7600.0,5760.0,12969009.0
2016.10.27,6080.0,220.0,6530.0,7000.0,5910.0,9344741.0
2016.10.28,5300.0,780.0,5800.0,6060.0,5230.0,5231817.0
2016.10.31,5470.0,170.0,5360.0,6090.0,5320.0,6683229.0
2016.11.01,4915.0,555.0,5510.0,5800.0,4765.0,4497785.0
2016.11.02,4450.0,465.0,4915.0,5050.0,4325.0,2675766.0
2016.11.03,4495.0,45.0,4355.0,4880.0,4265.0,4153930.0
2016.11.04,4145.0,350.0,4520.0,4585.0,4095.0,2186883.0
2016.11.07,4105.0,40.0,4200.0,4335.0,4050.0,1745737.0
2016.11.08,5330.0,1225.0,4245.0,5330.0,4195.0,13349383.0
2016.11.09,4880.0,450.0,5750.0,5760.0,4350.0,14044473.0
2016.11.10,5510.0,630.0,5170.0,6000.0,5070.0,15480303.0
2016.11.11,5740.0,230.0,5620.0,6330.0,5560.0,14120800.0
2016.11.14,5830.0,90.0,5730.0,5960.0,5520.0,3735907.0
2016.11.15,5870.0,40.0,5840.0,6180.0,5700.0,4903503.0
2016.11.16,5690.0,180.0,5860.0,5930.0,5600.0,2592358.0
2016.11.17,5760.0,70.0,5750.0,6080.0,5730.0,3977111.0
2016.11.18,5330.0,430.0,5690.0,5720.0,5280.0,2320175.0
2016.11.21,5300.0,30.0,5210.0,5840.0,4930.0,4687716.0
2016.11.22,5380.0,80.0,5310.0,5700.0,5240.0,2338535.0
2016.11.23,5030.0,350.0,5450.0,5540.0,5010.0,1604173.0
2016.11.24,4950.0,80.0,5000.0,5400.0,4735.0,1852740.0
2016.11.25,5000.0,50.0,4950.0,5240.0,4950.0,1594478.0
2016.11.28,6500.0,1500.0,5240.0,6500.0,5240.0,8729512.0
2016.11.29,7520.0,1020.0,6860.0,8050.0,6510.0,32646762.0
2016.11.30,7580.0,60.0,7810.0,8080.0,7210.0,10715862.0
2016.12.01,7740.0,160.0,7580.0,8070.0,7370.0,8337436.0
2016.12.02,7210.0,530.0,7620.0,7680.0,7040.0,4439533.0
2016.12.05,6840.0,370.0,7060.0,7490.0,6760.0,3818384.0
2016.12.06,6670.0,170.0,6940.0,7170.0,6600.0,2983632.0
2016.12.07,6340.0,330.0,6720.0,6880.0,6080.0,3702322.0
2016.12.08,6350.0,10.0,6480.0,6790.0,6300.0,4245898.0
2016.12.09,6550.0,200.0,6470.0,6700.0,6330.0,3206734.0
2016.12.12,6510.0,40.0,6680.0,6720.0,6420.0,1931601.0
2016.12.13,6240.0,270.0,6550.0,6610.0,6190.0,2248452.0
2016.12.14,6490.0,250.0,6370.0,6680.0,6260.0,4107853.0
2016.12.15,6780.0,290.0,6450.0,6780.0,6310.0,2043679.0
2016.12.16,6950.0,170.0,7170.0,7330.0,6850.0,7503148.0
2016.12.19,7090.0,140.0,6800.0,7090.0,6610.0,2470191.0
2016.12.20,6900.0,190.0,6990.0,7110.0,6870.0,1611957.0
2016.12.21,6570.0,330.0,6750.0,6850.0,6570.0,1735344.0
2016.12.22,6610.0,40.0,6570.0,6800.0,6360.0,2085995.0
2016.12.23,6390.0,220.0,6560.0,6800.0,6360.0,1377181.0
2016.12.26,6180.0,210.0,6450.0,6550.0,6120.0,791197.0
2016.12.27,6230.0,50.0,6230.0,6410.0,6180.0,663450.0
2016.12.28,6280.0,50.0,6240.0,6300.0,6130.0,593704.0
2016.12.29,6500.0,220.0,6420.0,6790.0,6340.0,2389918.0
2017.01.02,6430.0,70.0,6510.0,6670.0,6390.0,687886.0
2017.01.03,6610.0,180.0,6650.0,6900.0,6590.0,2548800.0
2017.01.04,6660.0,50.0,6650.0,6710.0,6540.0,719812.0
2017.01.05,6680.0,20.0,6760.0,6900.0,6680.0,1468787.0
2017.01.06,6800.0,120.0,6720.0,7280.0,6050.0,4461369.0
2017.01.09,6680.0,120.0,6840.0,6880.0,6680.0,683438.0
2017.01.10,6510.0,170.0,6780.0,6790.0,6500.0,813314.0
2017.01.11,6380.0,130.0,6490.0,6650.0,6370.0,574824.0
2017.01.12,6210.0,170.0,6450.0,6450.0,6200.0,506317.0
2017.01.13,6180.0,30.0,6260.0,6340.0,6140.0,463529.0
2017.01.16,6010.0,170.0,6240.0,6250.0,5970.0,507926.0
2017.01.17,6000.0,10.0,6010.0,6170.0,5850.0,485617.0
2017.01.18,6320.0,320.0,6050.0,6670.0,5940.0,3781058.0
2017.01.19,6140.0,180.0,6300.0,6410.0,6140.0,759440.0
2017.01.20,5950.0,190.0,6180.0,6180.0,5950.0,534112.0
2017.01.23,5510.0,440.0,5870.0,6000.0,5500.0,572440.0
2017.01.24,5230.0,280.0,5440.0,5530.0,5220.0,570998.0
2017.01.25,5250.0,20.0,5360.0,5500.0,5190.0,424000.0
2017.01.26,5260.0,10.0,5210.0,5360.0,5190.0,256094.0
2017.01.31,5470.0,210.0,5350.0,5570.0,5350.0,643778.0
2017.02.01,5460.0,10.0,5520.0,5620.0,5440.0,345793.0
2017.02.02,5180.0,280.0,5400.0,5440.0,5120.0,467736.0
2017.02.03,5200.0,20.0,5240.0,5290.0,5150.0,287097.0
2017.02.06,5200.0,0.0,5200.0,5250.0,5130.0,232545.0
2017.02.07,5370.0,170.0,5250.0,5410.0,5170.0,396988.0
2017.02.08,5490.0,120.0,5430.0,5730.0,5420.0,1253947.0
