date,close,diff,open,high,low,volume
1996.06.25,6400.0,0.0,6800.0,6800.0,6400.0,8790.0
1996.06.26,6100.0,300.0,6400.0,6400.0,6100.0,12220.0
1996.06.27,5920.0,180.0,6120.0,6280.0,5900.0,8490.0
1996.06.28,6020.0,100.0,6010.0,6100.0,6000.0,10050.0
1996.06.29,5900.0,120.0,5660.0,6090.0,5660.0,7470.0
1996.07.01,6160.0,260.0,5900.0,6160.0,5900.0,10690.0
1996.07.02,6150.0,10.0,6160.0,6300.0,6010.0,11210.0
1996.07.03,6060.0,90.0,6150.0,6150.0,6010.0,12810.0
1996.07.04,6050.0,10.0,5910.0,6100.0,5910.0,9240.0
1996.07.05,6090.0,40.0,6000.0,6150.0,5930.0,5300.0
1996.07.06,6100.0,10.0,6100.0,6100.0,6000.0,3610.0
1996.07.08,6460.0,360.0,6020.0,6460.0,6020.0,34640.0
1996.07.09,6840.0,380.0,6460.0,6840.0,6400.0,99400.0
1996.07.10,6750.0,90.0,6850.0,7040.0,6700.0,34220.0
1996.07.11,6500.0,250.0,6950.0,6950.0,6400.0,21060.0
1996.07.12,6350.0,150.0,6300.0,6400.0,6300.0,20680.0
1996.07.13,6500.0,150.0,6200.0,6700.0,6200.0,7020.0
1996.07.15,6300.0,200.0,6500.0,6650.0,6300.0,11180.0
1996.07.16,6200.0,100.0,6090.0,6200.0,5930.0,21450.0
1996.07.18,6150.0,50.0,6200.0,6400.0,6150.0,13390.0
1996.07.19,6370.0,220.0,6300.0,6370.0,6210.0,9990.0
1996.07.20,6300.0,70.0,6300.0,6300.0,6300.0,4780.0
1996.07.22,6250.0,50.0,6300.0,6300.0,6110.0,1680.0
1996.07.23,6380.0,130.0,6050.0,6380.0,6050.0,4610.0
1996.07.24,6300.0,80.0,6410.0,6410.0,6160.0,1890.0
1996.07.25,6400.0,100.0,6290.0,6500.0,6270.0,28650.0
1996.07.26,6300.0,100.0,6400.0,6400.0,6200.0,6290.0
1996.07.27,6300.0,0.0,6120.0,6300.0,6100.0,5600.0
1996.07.29,6190.0,110.0,6100.0,6300.0,6100.0,1070.0
1996.07.30,6300.0,110.0,6190.0,6300.0,6100.0,13110.0
1996.07.31,6300.0,0.0,6300.0,6500.0,6150.0,21270.0
1996.08.01,6200.0,100.0,6400.0,6500.0,6150.0,7640.0
1996.08.02,6130.0,70.0,6200.0,6200.0,6110.0,2590.0
1996.08.03,6030.0,100.0,6100.0,6100.0,6010.0,4200.0
1996.08.05,6200.0,170.0,6080.0,6300.0,6000.0,4700.0
1996.08.06,6300.0,100.0,5830.0,6300.0,5830.0,11900.0
1996.08.07,6200.0,100.0,5930.0,6300.0,5930.0,1540.0
1996.08.08,6350.0,150.0,6100.0,6400.0,6100.0,16160.0
1996.08.09,6120.0,230.0,6490.0,6490.0,6120.0,1140.0
1996.08.10,6320.0,200.0,6120.0,6450.0,6120.0,9900.0
1996.08.12,6400.0,80.0,6120.0,6400.0,6120.0,2840.0
1996.08.13,6300.0,100.0,6300.0,6310.0,6300.0,950.0
1996.08.14,6400.0,100.0,6110.0,6400.0,6110.0,14280.0
1996.08.16,6270.0,130.0,6280.0,6300.0,6120.0,6150.0
1996.08.17,6060.0,210.0,6030.0,6200.0,6030.0,2960.0
1996.08.19,6100.0,40.0,5900.0,6200.0,5900.0,4230.0
1996.08.20,5900.0,200.0,6100.0,6100.0,5900.0,6150.0
1996.08.21,6000.0,100.0,5900.0,6000.0,5800.0,3360.0
1996.08.22,5800.0,200.0,6000.0,6000.0,5800.0,6250.0
1996.08.23,6000.0,200.0,5800.0,6140.0,5800.0,17490.0
1996.08.24,6000.0,0.0,6000.0,6000.0,5900.0,2780.0
1996.08.26,6200.0,200.0,6000.0,6300.0,6000.0,28920.0
1996.08.27,5920.0,280.0,6200.0,6200.0,5920.0,2830.0
1996.08.28,5920.0,0.0,5810.0,6000.0,5790.0,5430.0
